,id,name,followers,genre,popularity
0,4q3ewBCX7sLwd24euuV69X,Bad Bunny,75858917,reggaeton,97
1,06HL4z0CvFAxyc27GXpf02,Taylor Swift,89699149,pop,100
2,3TVXtAsR1Inumwj472S9r4,Drake,81345537,canadian hip hop,98
3,1Xyo4u8uXC1ZmMpatF05PJ,The Weeknd,73240863,canadian contemporary r&b,94
4,5cj0lLjcoR7YOSnhnX0Po5,Doja Cat,26811079,dance pop,89
5,1McMsnEElThX1knmY4oliG,Olivia Rodrigo,29027151,pop,90
6,790FomKkXshlbRYZFtlgla,KAROL G,40805586,reggaeton,90
7,2LRoIwlKmHjgvigdNGBHNo,Feid,7861406,colombian pop,90
8,0Y5tJX1MQlPlqiwlOH1tJY,Travis Scott,24696505,hip hop,92
9,3wcj11K77LjEY1PkEazffa,Burna Boy,6913670,afrobeats,80
10,6eUKZXaKkcviH0Ku9w2n3V,Ed Sheeran,115792628,pop,88
11,7tYKF4w9nC0nq9CsPZTHyP,SZA,15259668,pop,89
12,45dkTj5sMRSjrmBSBeiHym,Tate McRae,3850236,alt z,82
13,3WGpXCj9YhhfX11TToZcXP,Troye Sivan,7970243,australian pop,79
14,6HaGTQPmzraVmaVxvz6EUc,Jung Kook,10409221,k-pop,88
15,12GqGscKJx3aE4t07u7eVZ,Peso Pluma,8196312,corridos tumbados,92
16,0Q8NcsJwoCbZOHHW63su5S,Mora,2957409,trap latino,86
17,4DdkRBBYG6Yk9Ka8tdJ9BW,Offset,3090634,atl hip hop,80
18,4dpARuHxo51G3z768sgnrY,Adele,52162493,british soul,84
19,716NhGYqD1jl2wI1Qkgq36,Bizarrap,12885493,argentine hip hop,86
20,00FQb4jTyendYWaN8pK0wa,Lana Del Rey,28925137,art pop,90
21,7uMDnSZyUYNBPLhPMNuaM2,Kenya Grace,302186,singer-songwriter pop,77
22,5YGY8feqx7naU7z4HrwZM6,Miley Cyrus,22488879,pop,85
23,6M2wZ9GZgrQXHCFfjv46we,Dua Lipa,42037163,dance pop,86
24,0jbo7KFNMiIkfBR6ih0yhm,iñigo quintero,98739,NA,74
25,40ZNYROS4zLfyyBSs2PGe2,Zach Bryan,2370684,classic oklahoma country,89
26,6qqNVTkY8uBg9cP3Jd7DAH,Billie Eilish,87815722,art pop,88
27,3SozjO3Lat463tQICI9LcE,Tyla,151808,NA,71
28,6XkjpgcEsYab502Vr1bBeW,Grupo Frontera,2059235,musica chihuahuense,86
29,246dkjvS1zLTtiykXe5h60,Post Malone,42558256,dfw rap,88
30,0iEtIxbK0KxaSlF7G42ZOp,Metro Boomin,5837444,rap,87
31,6KImCVD70vtIoJWnq6nGn3,Harry Styles,29804312,pop,85
32,6Te49r3A6f5BiIgBRxH7FH,Ninho,8847375,french hip hop,78
33,7iK8PXO48WeuP03g8YR51W,Myke Towers,12926043,reggaeton,87
34,4YRxDV8wJFPHPTeXepOstw,Arijit Singh,92692696,filmi,89
35,46pWGuE3dSwY3bMMXGBvVS,Rema,3301731,afrobeats,78
36,7Ln80lUS6He07XvHI8qqHH,Arctic Monkeys,21986965,garage rock,86
37,6Ip8FS7vWT1uKkJSweANQK,Dave,3805039,uk hip hop,81
38,52iwsT98xCoGgiGntTiR7K,Quevedo,3087098,rap canario,85
39,6HvZYsbFfjnjFrWF950C9d,NewJeans,5706409,k-pop,83
40,6RHTUrRF63xao58xh9FXYJ,IVE,2955772,k-pop girl group,75
41,4gzpq5DPGxSnKTe4SA8HAU,Coldplay,47897489,permanent wave,87
42,64tJ2EAv1R6UaZqc4iOCyj,YOASOBI,6554328,j-pop,77
43,5K4W6rqBFWDnAN6FQUkS6x,Kanye West,21718936,chicago rap,90
44,0du5cEVh5yTK9QJze8zA0C,Bruno Mars,51871841,dance pop,88
45,66ihevNkSYNzRAl44dx6jJ,Carin Leon,8332212,corrido,86
46,2hlmm7s2ICUX0LVIhVFlZQ,Gunna,6072167,atl hip hop,85
47,4zCH9qm4R2DADamUHMCa6O,Anirudh Ravichander,22946638,desi hip hop,86
48,1r4hJ1h58CWwUQe3MxPuau,Maluma,34779032,latin pop,84
49,7Gi6gjaWy3DxyilpF1a8Is,Junior H,10852005,corrido,89
50,250b0Wlc5Vk0CoUsaCY84M,JENNIE,4222510,k-pop,75
51,5pKCCKE2ajJHZ9KAiaK11H,Rihanna,58560162,barbadian pop,89
52,4oUHIQIBe0LHzYfvXNW4QM,Morgan Wallen,7383488,contemporary country,87
53,718COspgdWOnwOFpJHRZHS,Luke Combs,9416729,contemporary country,83
54,6l3HvQ5sa6mXTsMTB19rO5,J. Cole,21724865,conscious hip hop,86
55,2uYWxilOVlUdk4oV9DvwqK,Mitski,5366801,brooklyn indie,82
56,40YXr3tdSqFv0kfmgjj8vP,ANNA ASTI,372036,russian pop,59
57,19HM5j0ULGSmEoRcrSe5x3,Milo j,1197508,trap argentino,83
58,5wCmhq5J2hPwL2r0eKurxn,cassö,13852,NA,74
59,3a1tBryiczPAZpgoZN9Rzg,Asake,2089201,afrobeats,72
60,5XJDexmWFLWOkjOEjOVX3e,Eladio Carrion,5193568,trap boricua,83
61,5KKpBU5eC2tJDzf0wmlRp2,RAYE,1032627,uk contemporary r&b,79
62,6vWDO969PvNqNYHIOW5v0m,Beyoncé,36329345,pop,85
63,1mcTU81TzQhprhouKaTkpq,Rauw Alejandro,18947086,puerto rican pop,87
64,2elBjNSdBE2Y3f0j1mjrql,Jay Chou,5016081,c-pop,72
65,2rEVnwCPBeGkWMv425KoG1,AYLIVA,968597,german pop,78
66,2txHhyCwHjUEpJjWrEyqyX,Tom Odell,3513266,chill pop,76
67,3qsKSpcV3ncke3hw52JSMB,Young Miko,1376533,trap latino,83
68,1wRPtKGflJrBx9BmLsSwlU,Pritam,21990590,filmi,87
69,2R21vXR83lH98kGeO99Y66,Anuel AA,33210184,reggaeton,87
70,7dGJo4pcD2V6oG8kP0tJRR,Eminem,77887825,detroit hip hop,89
71,45TgXXqMDdF8BkjA83OM7z,Rod Wave,5661394,florida rap,81
72,7CajNmpbOovFoOoasH2HaY,Calvin Harris,23705739,dance pop,84
73,3ZpEKRjHaHANcpk10u6Ntq,Ayra Starr,1964827,afrobeats,73
74,53XhwfbYqKCa1cC15pYq2q,Imagine Dragons,50891940,modern rock,86
75,3gBZUcNeVumkeeJ19CY2sX,Ken Carson,739177,rage rap,76
76,2LIk90788K0zvyj2JJVwkJ,Jack Harlow,3031411,deep underground hip hop,83
77,0ghlgldX5Dd6720Q3qFyQB,TOMORROW X TOGETHER,8835228,k-pop,79
78,49aaHxvAJ0tCh0F15OnwIl,Loreen,1000822,europop,71
79,3YBJLs7RqR0aPGBgU27nDh,Werenoi,438947,french hip hop,74
80,1URnnhqYAYcrqrcwql10ft,21 Savage,15210550,atl hip hop,90
81,4cG43cUBRJWWDsRh4SW48i,Viktor Sheen,495148,czech drill,66
82,7uIbLdzzSEqnX0Pkrb56cR,Yo Yo Honey Singh,13750716,filmi,76
83,33NVpKoXjItPwUJTMZIOiY,David Kushner,1397283,gen z singer-songwriter,77
84,5gqmbbfjcikQBzPB5Hv13I,Gazo,1980101,drill francais,76
85,3qiHUAX7zY4Qnjx8TNUzVx,Yeat,3285336,pluggnb,83
86,3JsHnjpbhX4SnySpvpa9DK,V,15664635,j-division,84
87,6nVcHLIgY5pE2YCl8ubca1,Jhayco,6878005,reggaeton,84
88,4GNC7GD6oZMSxPGyXy4MNB,Lewis Capaldi,11803855,pop,80
89,4AK6F7OLvEQ5QYCBNiQWHq,One Direction,33726406,boy band,83
90,1Cs0zKBU1kc0i8ypK3B9ai,David Guetta,26792783,big room,87
91,5VadK1havLhK1OpKYsXv9y,D-Block Europe,1201160,melodic drill,78
92,1uNFoZAHBGtllmzznpCI3s,Justin Bieber,74831626,canadian pop,88
93,3MdXrJWsbVzdn6fe5JYkSQ,Latto,1249680,trap queen,84
94,0GM7qgcRCORpGnfcN2tCiB,Tainy,1746099,pop reggaeton,80
95,1HY2Jd0NmPuamShAr6KMms,Lady Gaga,28305190,art pop,83
96,5H4yInM5zmHqpKIoMNAx4r,Central Cee,4166125,melodic drill,81
97,2AfmfGFbe0A0WsTYm0SDTx,(G)I-DLE,7583993,k-pop girl group,76
98,3vUMXQ9kPnZAQkMkZZ7Hfh,Tiakola,1389989,french hip hop,74
99,0Y3agQaa6g2r0YmHPOO9rh,Davido,3672389,afrobeats,72
100,0C8ZW7ezQVs4URX5aX7Kqx,Selena Gomez,46055305,pop,83
101,0ys2OFYzWYB5hRDLCsBqxt,Fuerza Regida,5242411,corrido,86
102,2h93pZq0e7k5yf4dywlkpM,Frank Ocean,12011499,lgbtq+ hip hop,83
103,2mLA48B366zkELXYx7hcDN,Peggy Gou,788576,electra,73
104,77SW9BnxLY8rJ0RciFqkHh,The Neighbourhood,13977774,modern alternative rock,83
105,1RyvyyTE3xzB2ZywiAwp0i,Future,15125472,atl hip hop,89
106,0tmwSHipWxN12fsoLcFU3B,Manuel Turizo,13205273,colombian pop,83
107,1CcZoULzFHa8Uhwo6OlQcp,Semicenk,1838922,turkish pop,74
108,0EmeFodog0BfCgMzAIvKQp,Shakira,31944446,colombian pop,86
109,6EIriUxo7vznEgJtTDlXpq,Azahriah,319451,hungarian pop,66
110,2RQXRUsr4IW1f3mKyKsy4B,Noah Kahan,1383601,pov: indie,83
111,1TtXnWcUs0FCkaZDPGYHdf,Darell,3940897,latin hip hop,76
112,1DxLCyH42yaHKGK3cl5bvG,Maria Becerra,5041977,pop argentino,82
113,4QvgGvpgzgyUOo8Yp8LDm9,Mrs. GREEN APPLE,3038256,anime rock,74
114,0elWFr7TW8piilVRYJUe4P,Natanael Cano,9006326,corrido,86
115,3IDfJpj4YVkaBl7Dd52Pxv,Byron Messia,51976,NA,61
116,3Nrfpe0tUJi4K4DXYWgMUX,BTS,70574399,k-pop,87
117,2OhUNb01gLwygOizYvTm0e,Big One,224216,trap argentino,76
118,2o5jDhtHVPhrJdv3cEQ99Z,Tiësto,7179993,big room,83
119,08GQAI4eElDnROBrJRGE0X,Fleetwood Mac,10555843,album rock,81
