,id,name,followers,genre,popularity
0,4YRxDV8wJFPHPTeXepOstw,Arijit Singh,92692696,filmi,89
1,5f4QpKfy7ptCHwTqspnSJI,Neha Kakkar,43230109,filmi,73
2,0y59o4v8uw5crbN9M3JiL1,Badshah,25481317,desi hip hop,74
3,61JrslREXq98hurYL2hYoc,Lata Mangeshkar,11841836,classic bollywood,75
4,0GF4shudTAFv8ak9eWdd4Y,Kishore Kumar,8768630,classic bollywood,73
5,1mYsTxnqsietFxj1OgoGbG,A.R. Rahman,39895583,filmi,79
6,0oOet2f43PA68X5RxKobEy,Shreya Ghoshal,20272334,filmi,82
7,7uIbLdzzSEqnX0Pkrb56cR,Yo Yo Honey Singh,13750716,filmi,76
8,5as8A4G47Ohu9NSWs3Je8U,Asha Bhosle,6139346,chutney,70
9,2oSONSC9zQ4UonDKnLqksx,Atif Aslam,18437583,classic pakistani pop,75
10,7HCqGPJcQTyGJ2yqntbuyr,Amit Trivedi,8434822,filmi,67
11,3eDT9fwXKuHWFvgZaaYC5v,Sunidhi Chauhan,16053026,filmi,73
12,4oVMLzAqW6qhRpZWt8fNw4,Kailash Kher,6817439,filmi,65
13,0L5GV6LN8SWWUWIdBbTLTZ,Shankar-Ehsaan-Loy,4697660,filmi,68
14,1dVygo6tRFXC8CSWURQJq2,Sonu Nigam,13837219,filmi,75
15,6uskWv5K2FA0YOAYr7JOUz,Shalmali Kholgade,52304,filmi,60
16,6CXEwIaXYfVJ84biCxqc9k,Vishal Dadlani,9495381,filmi,74
17,0E02VcvA5p1ndkLdqWD5JB,Ankit Tiwari,13449979,filmi,65
18,61if35zz1W11GejEkxTLEQ,Benny Dayal,4264010,filmi,70
19,5T2I75UlGBcWd5nVyfmL13,Mika Singh,9155342,filmi,64
20,1wRPtKGflJrBx9BmLsSwlU,Pritam,21990590,filmi,87
21,3gBKY0y3dFFVRqicLnVZYz,Alka Yagnik,11917628,filmi,80
22,70B80Lwx2sxti0M1Ng9e8K,Udit Narayan,11928060,chutney,78
23,3ZxZ03fj3tXBZHZWzvaLSM,Neeti Mohan,3067096,filmi,70
24,19MVxKZZdPj2X0F8pi0OCT,Sukhwinder Singh,471806,filmi,69
25,4W91bbPB2CTSsHwt7eqNl7,Javed Ali,9043694,desi pop,70
26,2o4R2rK7FetH40HTv0SUWl,Monali Thakur,511956,filmi,58
27,3yMmYEklQ7gLOZXEFNd3xr,Palak Muchhal,5660678,filmi,66
28,0T1CMVkqffHlqEk4BcAph1,Tulsi Kumar,8133023,filmi,71
29,3xU8YsNNkmWSPewlB18NUz,Harshdeep Kaur,4527654,filmi,56
30,01DlVvmRpQFutrYzh0HmF8,Kamal Khan,182400,punjabi pop,50
31,4xd7mLI7urqrxELaXhAvzw,Shekhar Ravjiani,660393,filmi,69
32,0kJO65h553i1iGsZutBuqz,Adnan Sami,4124755,classic pakistani pop,60
33,0sSxphmGskGCKlwB9xa6WU,Himesh Reshammiya,9461041,filmi,65
34,5GnnSrwNCGyfAU4zuIytiS,Mohit Chauhan,8415642,filmi,73
35,4fEkbug6kZzzJ8eYX6Kbbp,KK,13795240,filmi,76
36,03SZmfKAgYRQKUwy0EoJUa,Roop Kumar Rathod,3924932,filmi,64
37,5IfJHO9jIE1GVuC517P3nr,Jaz Dhami,449961,punjabi hip hop,55
